Brand,Description,Price,Size,Volume,Classification,PurchasePrice,VendorNumber,VendorName
58,Gekkeikan Black & Gold Sake,$13 ,750mL,750,1,$9 ,8320,SHAW ROSS INT L IMP LTD    
62,Herradura Silver Tequila,$37 ,750mL,750,1,$29 ,1128,BROWN-FORMAN CORP          
63,Herradura Reposado Tequila,$39 ,750mL,750,1,$30 ,1128,BROWN-FORMAN CORP          
72,No. 3 London Dry Gin,$35 ,750mL,750,1,$26 ,9165,ULTRA BEVERAGE COMPANY LLP 
75,Three Olives Tomato Vodka,$15 ,750mL,750,1,$11 ,7245,PROXIMO SPIRITS INC.       
77,Three Olives Espresso Vodka,$13 ,750mL,750,1,$10 ,7245,PROXIMO SPIRITS INC.       
79,Three Olives Loopy Vodka,$15 ,750mL,750,1,$10 ,7245,PROXIMO SPIRITS INC.       
115,Belvedere Vodka,$28 ,1000mL,1000,1,$21 ,8112,MOET HENNESSY USA INC      
126,Grey Goose Vodka,$33 ,1000mL,1000,1,$20 ,480,BACARDI USA INC            
168,Three Olives Strawberry,$13 ,750mL,750,1,$9 ,7245,PROXIMO SPIRITS INC.       
171,Gentleman Jack,$50 ,1750mL,1750,1,$37 ,1128,BROWN-FORMAN CORP          
173,Hornitos Reposado VAP,$23 ,750mL,750,1,$15 ,12546,JIM BEAM BRANDS COMPANY    
175,1800 Anejo Tequila,$37 ,750mL,750,1,$27 ,7245,PROXIMO SPIRITS INC.       
178,Wild Turkey Russell's RSV,$30 ,750mL,750,1,$21 ,11567,CAMPARI AMERICA            
192,Milagro Anejo Tequila,$36 ,750mL,750,1,$28 ,3664,WILLIAM GRANT & SONS INC   
211,Cold River Gin,$25 ,750mL,750,1,$20 ,4425,MARTIGNETTI COMPANIES
229,Sauza Gold VAP,$13 ,750mL,750,1,$10 ,12546,JIM BEAM BRANDS COMPANY    
233,Tullamore Dew 12 Yr Old,$47 ,750mL,750,1,$30 ,3664,WILLIAM GRANT & SONS INC   
247,Gran Patron Platinum Tequil,$200 ,750mL,750,1,$156 ,9165,ULTRA BEVERAGE COMPANY LLP 
254,DeKuyper Root Beer Schnapps,$11 ,1000mL,1000,1,$9 ,12546,JIM BEAM BRANDS COMPANY    
261,Svedka Citron Vodka,$13 ,1000mL,1000,1,$10 ,1392,CONSTELLATION BRANDS INC   
273,Sauza Extra Gold Tequila,$22 ,1750mL,1750,1,$17 ,12546,JIM BEAM BRANDS COMPANY    
283,Milagro Tequila Reposado SBR,$62 ,750mL,750,1,$40 ,3664,WILLIAM GRANT & SONS INC   
284,Milagro Tequila Anejo SBR,$78 ,750mL,750,1,$53 ,3664,WILLIAM GRANT & SONS INC   
294,Old Mexico Gold Tequila,$8 ,1000mL,1000,1,$7 ,9552,M S WALKER INC             
305,Crown Royal Canadian Whisky,$28 ,1000mL,1000,1,$22 ,3960,DIAGEO NORTH AMERICA INC   
323,Tequila Rose Strawberry Gift,$14 ,750mL,750,1,$11 ,5992,MCCORMICK DISTILLING CO    
344,Punt e Mes Sweet Vermouth,$20 ,750mL,750,1,$16 ,9165,ULTRA BEVERAGE COMPANY LLP 
361,Effen Cucumber Vodka,$20 ,750mL,750,1,$14 ,12546,JIM BEAM BRANDS COMPANY    
376,Aperol Liqueur,$27 ,750mL,750,1,$19 ,11567,CAMPARI AMERICA            
384,Ardbeg Corryvreckan Scotch,$75 ,750mL,750,1,$55 ,8112,MOET HENNESSY USA INC      
388,Smirnoff 80 Proof,$14 ,1000mL,1000,1,$11 ,3960,DIAGEO NORTH AMERICA INC   
408,Wild Turkey American Honey,$17 ,750mL,750,1,$13 ,11567,CAMPARI AMERICA            
415,Jose Cuervo Especial,$21 ,1000mL,1000,1,$13 ,7245,PROXIMO SPIRITS INC.       
419,Absolut Citron,$22 ,1000mL,1000,1,$16 ,17035,PERNOD RICARD USA          
425,Hennessy Paradis,$800 ,750mL,750,1,$620 ,8112,MOET HENNESSY USA INC      
426,Crystal Head Vodka,$8 ,50mL,50,1,$6 ,9165,ULTRA BEVERAGE COMPANY LLP 
435,Il Tramonto Limoncello,$18 ,750mL,750,1,$13 ,7153,PINE STATE TRADING CO      
438,Licor 43 Vanilla Liqueur,$20 ,750mL,750,1,$13 ,4425,MARTIGNETTI COMPANIES
443,St Germain Liqueur,$34 ,750mL,750,1,$24 ,480,BACARDI USA INC            
450,Vincent Van Gogh Double Esp,$25 ,750mL,750,1,$20 ,4425,MARTIGNETTI COMPANIES
463,Kirk & Sweeney 12Yr Old Rum,$34 ,750mL,750,1,$25 ,653,STATE WINE & SPIRITS   
482,Absolut 80 Proof,$22 ,1000mL,1000,1,$14 ,17035,PERNOD RICARD USA          
485,Seagrams 7 Crown,$13 ,1000mL,1000,1,$10 ,3960,DIAGEO NORTH AMERICA INC   
497,Capt Morgan Spiced Rum,$20 ,1000mL,1000,1,$15 ,3960,DIAGEO NORTH AMERICA INC   
508,Bacardi Superior Rum,$13 ,1000mL,1000,1,$10 ,480,BACARDI USA INC            
513,Ocean Vodka,$29 ,750mL,750,1,$23 ,9165,ULTRA BEVERAGE COMPANY LLP 
515,Hirsch Selection Bourbon,$36 ,750mL,750,1,$25 ,9165,ULTRA BEVERAGE COMPANY LLP 
