VendorNumber,VendorName,InvoiceDate,PONumber,PODate,PayDate,Quantity,Dollars,Freight,Approval
105,ALTAMAR BRANDS LLC         ,1/4/2016,8124,12/21/2015,2/16/2016,6,$214,3.47,None
4466,AMERICAN VINTAGE BEVERAGE  ,1/7/2016,8137,12/22/2015,2/21/2016,15,$141,8.57,None
388,ATLANTIC IMPORTING COMPANY ,1/9/2016,8169,12/24/2015,2/16/2016,5,$107,4.61,None
480,BACARDI USA INC            ,1/12/2016,8106,12/20/2015,2/5/2016,10100,"$137,484",2935.2,None
516,BANFI PRODUCTS CORP        ,1/7/2016,8170,12/24/2015,2/12/2016,1935,"$15,527",429.2,None
2396,BLACK PRINCE DISTILLERY INC,1/8/2016,8191,12/25/2015,2/6/2016,23,$235,2.3,None
1128,BROWN-FORMAN CORP          ,1/9/2016,8150,12/23/2015,2/19/2016,4684,"$65,404",1808.77,None
1189,BULLY BOY DISTILLERS       ,1/9/2016,8171,12/24/2015,2/4/2016,6,$132,5.29,None
1273,CALEDONIA SPIRITS INC      ,1/6/2016,8172,12/24/2015,2/15/2016,5,$147,15.53,None
11567,CAMPARI AMERICA            ,1/6/2016,8151,12/23/2015,2/20/2016,1321,"$12,040",398.71,None
90046,CANDIA VINEYARDS           ,1/5/2016,8107,12/20/2015,2/10/2016,24,$349,9.08,None
1485,CASTLE BRANDS CORP.        ,1/8/2016,8152,12/23/2015,2/19/2016,320,"$5,420",179.26,None
2876,CENTEUR IMPORTS LLC        ,1/8/2016,8125,12/21/2015,2/7/2016,12,$105,0.5,None
4380,CHARLES JACQUIN ET CIE INC ,1/6/2016,8153,12/23/2015,2/12/2016,96,$908,41.05,None
1392,CONSTELLATION BRANDS INC   ,1/11/2016,8108,12/20/2015,2/10/2016,8466,"$60,281",1549.81,None
90047,CRUSH WINES                ,1/7/2016,8126,12/21/2015,2/21/2016,90,$854,16.7,None
2242,DELICATO VINEYARDS INC     ,1/6/2016,8139,12/22/2015,2/10/2016,808,"$6,646",127.05,None
1590,DIAGEO CHATEAU ESTATE WINES,1/12/2016,8109,12/20/2015,2/11/2016,2246,"$14,298",408.72,None
3960,DIAGEO NORTH AMERICA INC   ,1/10/2016,8173,12/24/2015,2/19/2016,16602,"$180,645",5972.45,None
2555,DISARONNO INTERNATIONAL LLC,1/11/2016,8192,12/25/2015,2/17/2016,385,"$3,506",146.86,None
2450,DJINN SPIRITS LLC          ,1/11/2016,8140,12/22/2015,2/11/2016,12,$200,10.05,None
2496,DUGGANS DISTILLED PRODUCTS ,1/6/2016,8174,12/24/2015,2/10/2016,24,$419,11.39,None
3252,E & J GALLO WINERY         ,1/9/2016,8110,12/20/2015,2/19/2016,8086,"$56,493",1300.92,None
2561,EDRINGTON AMERICAS         ,1/8/2016,8175,12/24/2015,2/10/2016,136,"$5,645",218.18,None
1655,FABRIZIA SPIRITS LLC       ,1/4/2016,8194,12/25/2015,2/5/2016,46,$394,16,None
17031,FLAG HILL WINERY & VINEYARD,1/6/2016,8154,12/23/2015,2/6/2016,94,"$1,357",62.5,None
90011,FORTUNE WINE BROKERS LLC   ,1/11/2016,8141,12/22/2015,2/14/2016,23,$227,4.88,None
9744,FREDERICK WILDMAN & SONS   ,1/6/2016,8176,12/24/2015,2/12/2016,1222,"$8,611",212.93,None
3924,HEAVEN HILL DISTILLERIES   ,1/8/2016,8155,12/23/2015,2/15/2016,818,"$7,079",200.02,None
3950,"HOOD RIVER DISTILLERS, Inc.",1/8/2016,8195,12/25/2015,2/7/2016,6,$129,3.44,None
90053,INCREDIBREW INC            ,1/12/2016,8178,12/24/2015,2/12/2016,48,$417,5.65,None
17032,JEWELL TOWNE VINEYARDS     ,1/10/2016,8111,12/20/2015,2/4/2016,24,$185,9.5,None
12546,JIM BEAM BRANDS COMPANY    ,1/6/2016,8142,12/22/2015,2/19/2016,11611,"$151,890",3506.08,None
4550,KLIN SPIRITS LLC           ,1/7/2016,8196,12/25/2015,2/17/2016,7,$98,9.65,None
4692,KOBRAND CORPORATION        ,1/11/2016,8112,12/20/2015,2/6/2016,427,"$5,336",185.93,None
90032,LABELLE VYDS AND WINERY    ,1/6/2016,8156,12/23/2015,2/11/2016,92,"$1,044",41.13,None
4848,LAIRD & CO                 ,1/7/2016,8143,12/22/2015,2/6/2016,12,$121,13.91,None
4950,LATITUDE BEVERAGE COMPANY  ,1/7/2016,8179,12/24/2015,2/6/2016,153,$879,19.68,None
8352,LUXCO INC                  ,1/8/2016,8113,12/20/2015,2/7/2016,819,"$6,139",196.61,None
9552,M S WALKER INC             ,1/10/2016,8157,12/23/2015,2/9/2016,8061,"$68,621",1591.5,None
10000,MAJESTIC FINE WINES        ,1/9/2016,8128,12/21/2015,2/17/2016,875,"$7,235",218.05,None
5455,MARSALLE COMPANY           ,1/8/2016,8158,12/23/2015,2/13/2016,12,$334,14.36,None
4425,MARTIGNETTI COMPANIES ,1/6/2016,8160,12/23/2015,2/6/2016,24,$194,11.38,None
4425,MARTIGNETTI COMPANIES,1/5/2016,8159,12/23/2015,2/13/2016,16075,"$185,156",4613.45,None
5992,MCCORMICK DISTILLING CO    ,1/10/2016,8130,12/21/2015,2/5/2016,90,$893,42.4,None
6213,MHW LTD                    ,1/9/2016,8144,12/22/2015,2/4/2016,412,"$4,822",177.5,None
8112,MOET HENNESSY USA INC      ,1/8/2016,8180,12/24/2015,2/6/2016,1392,"$31,016",938.79,None
6215,MOONLIGHT MEADERY          ,1/9/2016,8161,12/23/2015,2/10/2016,35,$322,9.02,None
6355,NICHE W & S                ,1/5/2016,8162,12/23/2015,2/14/2016,137,$425,13.08,None
6359,OLE SMOKY DISTILLERY LLC   ,1/10/2016,8131,12/21/2015,2/13/2016,134,"$1,914",31.53,None
6785,PALM BAY INTERNATIONAL INC ,1/8/2016,8114,12/20/2015,2/14/2016,715,"$5,533",242.73,None
10754,PERFECTA WINES             ,1/10/2016,8115,12/20/2015,2/10/2016,2398,"$20,861",633.9,None
17035,PERNOD RICARD USA          ,1/5/2016,8181,12/24/2015,2/11/2016,5772,"$80,917",2703.94,None
9206,PHILLIPS PRODUCTS CO.      ,1/6/2016,8116,12/20/2015,2/7/2016,193,$920,34.73,None
7153,PINE STATE TRADING CO      ,1/4/2016,8132,12/21/2015,2/5/2016,2334,"$15,277",338.2,None
90027,POVERTY LANE ORCHARDS      ,1/11/2016,8117,12/20/2015,2/9/2016,46,$364,9.27,None
7154,PREMIER DISTRIBUTORS       ,1/5/2016,8197,12/25/2015,2/14/2016,11,$176,12.08,None
7245,PROXIMO SPIRITS INC.       ,1/8/2016,8145,12/22/2015,2/13/2016,3123,"$34,458",943.77,None
7255,PSP WINES ,1/11/2016,8198,12/25/2015,2/12/2016,11,$66,6.09,None
7239,REMY COINTREAU USA INC     ,1/8/2016,8163,12/23/2015,2/18/2016,382,"$7,515",348.07,None
10050,Russian Standard Vodka     ,1/6/2016,8118,12/20/2015,2/20/2016,222,$621,14.08,None
8004,SAZERAC CO INC             ,1/10/2016,8199,12/25/2015,2/20/2016,6283,"$57,739",1206.72,None
660,SAZERAC NORTH AMERICA INC. ,1/10/2016,8200,12/25/2015,2/10/2016,1393,"$10,820",317.76,None
8150,SEA HAGG DISTILLERY LLC    ,1/11/2016,8182,12/24/2015,2/5/2016,5,$111,3.39,None
98450,Serralles Usa LLC          ,1/8/2016,8165,12/23/2015,2/17/2016,26,$376,17.21,None
8320,SHAW ROSS INT L IMP LTD    ,1/8/2016,8166,12/23/2015,2/11/2016,279,"$2,392",51.37,None
3089,SIDNEY FRANK IMPORTING CO  ,1/6/2016,8183,12/24/2015,2/4/2016,379,"$4,444",133.83,None
2000,SOUTHERN WINE & SPIRITS NE ,1/5/2016,8185,12/24/2015,2/4/2016,1479,"$12,710",397.04,None
8663,STAR INDUSTRIES INC.       ,1/11/2016,8119,12/20/2015,2/13/2016,12,$197,0.93,None
